Year,Country,Coal,Natural_gas,Petroleum,Nuclear_renewables_and_other,CO2_Emissions,Latitude ,Longitude,Total
2000,Africa,5.083383082,4.891812611,16.42108512,0.919661532,1A,-2.811371,21.136971,27.31594235
2001,Africa,5.043747226,5.07834291,16.41510374,0.979799235,1A,-2.811371,21.136971,27.51699311
2002,Africa,4.969608959,5.133591108,16.58933304,0.999855537,1A,-2.811371,21.136971,27.69238864
2003,Africa,5.375832267,5.582382957,17.61199312,0.991089967,1A,-2.811371,21.136971,29.56129831
2004,Africa,5.450242422,5.803936177,19.14362422,1.051592582,1A,-2.811371,21.136971,31.4493954
2005,Africa,5.50339324,6.76845399,20.72053665,1.051008306,1A,-2.811371,21.136971,34.04339219
2006,Africa,5.489277105,7.493964475,20.93651676,1.054908804,1A,-2.811371,21.136971,34.97466714
2007,Africa,5.54774124,7.456890059,21.59322274,1.100357198,1A,-2.811371,21.136971,35.69821124
2008,Africa,5.637804567,7.848693583,21.77281919,1.117585274,1A,-2.811371,21.136971,36.37690261
2009,Africa,5.557688309,7.564999454,21.34619665,1.144474799,1A,-2.811371,21.136971,35.61335921
2010,Africa,5.678594514,7.781621086,21.94531757,1.268825688,1A,-2.811371,21.136971,36.67435886
2011,Africa,5.759791586,7.869232056,18.87811276,1.277456251,1A,-2.811371,21.136971,33.78459265
2012,Africa,5.880989462,8.234400916,20.43658141,1.253090128,1A,-2.811371,21.136971,35.80506192
2013,Africa,5.912946497,7.755080274,19.00669702,1.333875573,1A,-2.811371,21.136971,34.00859936
2014,Africa,6.103256135,7.77002763,17.95434023,1.437673132,1A,-2.811371,21.136971,33.26529713
2015,Africa,5.984769993,7.672130254,17.69109552,1.405008602,1A,-2.811371,21.136971,32.75300437
2016,Africa,5.927929525,7.844636157,16.56248051,1.465556232,1A,-2.811371,21.136971,31.80060242
2017,Africa,6.173635184,8.638687176,17.38563762,1.544248404,1A,-2.811371,21.136971,33.74220838
2018,Africa,6.167344012,9.101070986,17.55008634,1.614022319,1A,-2.811371,21.136971,34.43252366
2000,Asia_Oceana,46.21393559,9.636612868,16.66795494,10.58023286,6F,50.736455,130.83394,83.09873626
2001,Asia_Oceana,49.41550009,9.538550034,16.48173438,11.30251801,6F,50.736455,130.83394,86.73830251
2002,Asia_Oceana,51.88537257,10.44529335,16.52566361,11.287776,6F,50.736455,130.83394,90.14410553
2003,Asia_Oceana,59.00099943,10.97642982,16.34345938,11.23419231,7G,50.736455,130.83394,97.55508094
2004,Asia_Oceana,66.89211045,11.30086357,16.53267334,12.47755777,7G,50.736455,130.83394,107.2032051
2005,Asia_Oceana,74.01332896,12.32265803,16.65600083,13.36720969,8H,50.736455,130.83394,116.3591975
2006,Asia_Oceana,80.12930545,13.58610715,16.73549622,14.26454122,8H,50.736455,130.83394,124.71545
2007,Asia_Oceana,86.04710079,14.56054214,16.61086102,14.42924108,9I,50.736455,130.83394,131.647745
2008,Asia_Oceana,89.88117537,15.18957525,16.88125992,15.67664855,9I,50.736455,130.83394,137.6286591
2009,Asia_Oceana,95.36469097,16.00812292,16.78852773,16.41584693,10J,50.736455,130.83394,144.5771886
2010,Asia_Oceana,105.3006967,17.91012426,17.51797171,18.28527499,10J,50.736455,130.83394,159.0140677
2011,Asia_Oceana,112.6731534,17.92294453,17.21727639,17.95916462,11K,50.736455,130.83394,165.7725389
2012,Asia_Oceana,117.8841826,17.946347,17.34070699,18.48405686,12L,50.736455,130.83394,171.6552935
2013,Asia_Oceana,121.3817298,18.42539855,17.10106917,20.2646084,12L,50.736455,130.83394,177.1728059
2014,Asia_Oceana,121.4737177,19.03507959,17.17323409,22.55609671,12L,50.736455,130.83394,180.2381281
2015,Asia_Oceana,120.5019789,19.77466365,17.4178856,23.67575202,12L,50.736455,130.83394,181.3702802
2016,Asia_Oceana,114.0632608,20.65200576,16.75347768,26.0436914,12L,50.736455,130.83394,177.5124356
2017,Asia_Oceana,116.712614,21.90646547,16.01289219,28.27973511,12L,50.736455,130.83394,182.9117068
2018,Asia_Oceana,122.9632878,23.01180187,15.72280826,30.94789899,12L,50.736455,130.83394,192.6457969
2000,Central_S_America,1.319071957,3.700883244,15.06031958,6.081345142,1A,-16.636192,-59.026199,26.16161992
2001,Central_S_America,1.428209431,3.956835129,14.78516196,5.935156777,1A,-16.636192,-59.026199,26.1053633
2002,Central_S_America,1.419681157,3.986920404,14.07518658,6.128803192,1A,-16.636192,-59.026199,25.61059133
2003,Central_S_America,1.570925787,4.40287972,13.5117137,6.419438406,1A,-16.636192,-59.026199,25.90495761
2004,Central_S_America,1.667294689,4.861872731,14.28321292,6.585456979,1A,-16.636192,-59.026199,27.39783732
2005,Central_S_America,1.820085425,5.019114072,14.65604465,6.920651969,1A,-16.636192,-59.026199,28.41589612
2006,Central_S_America,1.977206069,5.405254949,14.68551129,7.27722318,1A,-16.636192,-59.026199,29.34519549
2007,Central_S_America,1.949645289,5.318118949,14.55796683,7.63294633,1A,-16.636192,-59.026199,29.4586774
2008,Central_S_America,2.130446815,5.475048055,14.84339961,7.843582985,1A,-16.636192,-59.026199,30.29247747
2009,Central_S_America,2.062652523,5.222865242,15.19256673,7.925631012,1A,-16.636192,-59.026199,30.40371551
2010,Central_S_America,2.082150033,5.601651487,15.42935665,8.162373656,1A,-16.636192,-59.026199,31.27553183
2011,Central_S_America,2.357179347,5.824331573,15.87209864,8.537425881,1A,-16.636192,-59.026199,32.59103544
2012,Central_S_America,2.439103408,6.050824372,15.84424277,8.350212101,1A,-16.636192,-59.026199,32.68438265
2013,Central_S_America,2.408835495,6.229325717,15.9073104,8.400563957,1A,-16.636192,-59.026199,32.94603557
2014,Central_S_America,2.491786991,6.297527493,16.43030935,8.198148396,1A,-16.636192,-59.026199,33.41777223
2015,Central_S_America,2.444567539,6.332895804,16.61440852,8.267204247,1A,-16.636192,-59.026199,33.65907611
2016,Central_S_America,2.562358617,6.391817519,15.96017489,8.561535495,1A,-16.636192,-59.026199,33.47588652
2017,Central_S_America,2.53527915,6.348136463,15.40911145,8.776458588,1A,-16.636192,-59.026199,33.06898565
2018,Central_S_America,2.374151875,6.218765223,14.17158483,9.14492608,1A,-16.636192,-59.026199,31.90942801
2000,Europe,9.939598906,11.03397095,14.01232967,16.51291742,4D,53.330873,19.730599,51.49881695
2001,Europe,9.885764651,11.1571793,14.07360779,17.03161924,4D,53.330873,19.730599,52.14817098
2002,Europe,9.718749311,11.46601305,13.93078464,16.752011,4D,53.330873,19.730599,51.867558
2003,Europe,9.639769589,11.56203641,13.42253071,16.51133065,4D,53.330873,19.730599,51.13566736
2004,Europe,9.470036277,12.00466537,12.6737505,17.14461346,4D,53.330873,19.730599,51.29306561
2005,Europe,9.1226481,11.63057455,11.6459742,17.21917129,4D,53.330873,19.730599,49.61836814
2006,Europe,8.77072852,11.22931141,10.75575347,17.36113639,4D,53.330873,19.730599,48.11692979
2007,Europe,8.753877436,10.8078388,10.22681506,17.23699851,4D,53.330873,19.730599,47.02552981
2008,Europe,8.49057254,11.20266279,9.734519265,17.88477899,4D,53.330873,19.730599,47.31253359
2009,Europe,8.028452752,10.69050224,9.182533763,17.73924086,3C,53.330873,19.730599,45.64072962
2010,Europe,7.811132447,11.03828268,8.527709833,18.94684502,3C,53.330873,19.730599,46.32396998
2011,Europe,8.063818051,10.0543535,7.78120563,18.69656713,3C,53.330873,19.730599,44.59594431
2012,Europe,8.016302244,10.17247134,7.155795848,19.37184391,3C,53.330873,19.730599,44.71641334
2013,Europe,7.445686087,9.893548751,6.755609488,20.2862819,3C,53.330873,19.730599,44.38112623
2014,Europe,7.03513645,9.229487395,6.83008751,20.61376048,3C,53.330873,19.730599,43.70847184
2015,Europe,6.896193874,9.104128084,7.129614986,20.81913939,3C,53.330873,19.730599,43.94907633
2016,Europe,6.519853843,9.045084548,7.222234148,20.81514927,3C,53.330873,19.730599,43.60232181
2017,Europe,6.432282879,9.164586136,7.102020204,20.82734154,3C,53.330873,19.730599,43.52623076
2018,Europe,6.223738652,8.703050408,7.043460362,21.59148461,3C,53.330873,19.730599,43.56173403
2000,Middle_East,0.032084443,7.926751928,49.44553719,0.081781417,1A,31.952162,54.87228,57.48615498
2001,Middle_East,0.031118661,8.348298607,47.70316681,0.097925841,1A,31.952162,54.87228,56.18050992
2002,Middle_East,0.028805625,9.13921935,45.02500364,0.119715864,1A,31.952162,54.87228,54.31274448
2003,Middle_East,0.031926375,9.641008773,47.95985072,0.158436,1A,31.952162,54.87228,57.79122187
2004,Middle_East,0.034199902,10.43467773,52.25374226,0.164572896,1A,31.952162,54.87228,62.88719279
2005,Middle_East,0.037908321,11.82779833,54.13537649,0.274012596,1A,31.952162,54.87228,66.27509574
2006,Middle_East,0.037115114,12.5438149,53.42430993,0.287195123,1A,31.952162,54.87228,66.29243507
2007,Middle_East,0.040092019,13.33461063,52.31118538,0.274573962,1A,31.952162,54.87228,65.96046199
2008,Middle_East,0.038876784,14.32551072,55.88726513,0.117717362,2B,31.952162,54.87228,70.36937
2009,Middle_East,0.032162689,15.61067643,52.4263283,0.129891325,2B,31.952162,54.87228,68.19905874
2010,Middle_East,0.030387779,17.7239848,52.33593705,0.176269884,2B,31.952162,54.87228,70.26657951
2011,Middle_East,0.032481155,19.40706736,56.9299623,0.19609384,2B,31.952162,54.87228,76.56560466
2012,Middle_East,0.029039685,20.47882473,57.6551991,0.22147534,2B,31.952162,54.87228,78.38453886
2013,Middle_East,0.030834363,21.14149611,56.63882999,0.276630542,2B,31.952162,54.87228,78.08779101
2014,Middle_East,0.029920444,21.60250108,57.6880683,0.240479114,2B,31.952162,54.87228,79.56096894
2015,Middle_East,0.033670016,22.2214793,60.620741,0.218200931,2B,31.952162,54.87228,83.09409125
2016,Middle_East,0.037270719,23.01990363,64.78966919,0.289130275,2B,31.952162,54.87228,88.13597381
2017,Middle_East,0.044049648,24.04080961,64.02652162,0.280753071,2B,31.952162,54.87228,88.39213395
2018,Middle_East,0.047822611,24.58962071,64.75162137,0.304459285,2B,31.952162,54.87228,89.69352398
2000,North_America,24.40100982,27.62483023,27.41838065,18.94863029,5E,34.885931,-101.93886,98.39285099
2001,North_America,25.23375748,28.27996543,27.61665779,17.98013509,5E,34.885931,-101.93886,99.11051579
2002,North_America,24.30842346,27.57179835,27.86327858,18.74442419,5E,34.885931,-101.93886,98.48792458
2003,North_America,23.59200998,27.72770714,28.21994982,18.58270831,5E,34.885931,-101.93886,98.12237525
2004,North_America,24.46089962,27.19687215,28.12509957,19.16783249,5E,34.885931,-101.93886,98.95070383
2005,North_America,24.89986338,26.84742997,27.16946016,19.54055514,5E,34.885931,-101.93886,98.45730865
2006,North_America,25.54077284,27.48979109,27.20112578,19.92353855,5E,34.885931,-101.93886,100.1552283
2007,North_America,25.37316863,28.20916196,27.04701448,20.16523949,5E,34.885931,-101.93886,100.7945846
2008,North_America,25.55263957,28.76774699,26.10955142,20.98710992,5E,34.885931,-101.93886,101.4170479
2009,North_America,23.16829202,29.21480262,26.48212623,21.1200042,5E,34.885931,-101.93886,99.98522507
2010,North_America,23.76749063,29.22356927,27.1831475,21.82267385,5E,34.885931,-101.93886,101.9968813
2011,North_America,24.0405472,30.61620472,28.05715287,22.95998808,5E,34.885931,-101.93886,105.6738929
2012,North_America,22.40469145,31.65109077,30.69623451,22.29099052,5E,34.885931,-101.93886,107.0430073
2013,North_America,21.802096,31.96779823,33.34571506,23.30114824,5E,34.885931,-101.93886,110.4167575
2014,North_America,22.02592139,33.94430199,37.08745595,23.84448867,5E,34.885931,-101.93886,116.902168
2015,North_America,19.47328973,35.31980909,38.43438965,23.68052163,5E,34.885931,-101.93886,116.9080101
2016,North_America,16.17805543,34.76309929,37.33392712,24.51937163,5E,34.885931,-101.93886,112.7944535
2017,North_America,17.19311368,35.98814247,38.91288902,25.41537649,5E,34.885931,-101.93886,117.5095217
2018,North_America,16.83406354,39.7436206,43.40790436,25.68310125,5E,34.885931,-101.93886,125.6686898
2000,Eurasia,9.324734585,24.46937037,17.32681259,4.468235193,2B,58.813742,85.811237,55.58915274
2001,Eurasia,9.541921259,24.71252312,18.52394641,4.640880122,2B,58.813742,85.811237,57.41927091
2002,Eurasia,9.143245067,25.27260433,19.9263218,4.604235029,2B,58.813742,85.811237,58.94640623
2003,Eurasia,9.897902682,26.12530061,21.9568778,4.682741894,2B,58.813742,85.811237,62.66282299
2004,Eurasia,9.895361534,27.08788372,23.95126377,4.923903392,2B,58.813742,85.811237,65.85841242
2005,Eurasia,10.47910853,27.63763865,24.786845,4.908850931,2B,58.813742,85.811237,67.81244311
2006,Eurasia,10.90140835,28.21663923,25.7129174,4.933766637,2B,58.813742,85.811237,69.76473162
2007,Eurasia,11.10232224,28.55913059,26.70244789,5.012879067,2B,58.813742,85.811237,71.37677979
2008,Eurasia,11.53568882,28.84634793,26.64200864,4.881896525,2B,58.813742,85.811237,71.90594192
2009,Eurasia,10.75784803,25.24550534,27.38654838,4.918819529,2B,58.813742,85.811237,68.30872128
2010,Eurasia,11.50761677,27.66644506,28.07090064,5.059992195,2B,58.813742,85.811237,72.30495467
2011,Eurasia,11.72495301,29.30850943,28.27362491,5.041618203,2B,58.813742,85.811237,74.34870555
2012,Eurasia,12.68835068,28.99923174,28.58103217,5.039304191,2B,58.813742,85.811237,75.30791878
2013,Eurasia,13.15500797,29.61926723,28.86509986,5.092533619,2B,58.813742,85.811237,76.73190868
2014,Eurasia,12.77990039,29.1111275,29.09994215,5.124109767,2B,58.813742,85.811237,76.11507981
2015,Eurasia,12.7020132,29.21940901,29.52881825,5.128568681,2B,58.813742,85.811237,76.57880914
2016,Eurasia,12.82719814,29.15955792,29.93273834,5.251354887,2B,58.813742,85.811237,77.17084929
2017,Eurasia,13.29834629,31.0538662,30.15089666,5.420589768,2B,58.813742,85.811237,79.92369892
2018,Eurasia,14.09163328,32.63592958,30.66420641,5.363416997,2B,58.813742,85.811237,82.75518627
